Model,Metric,Score
LLama-zero-shot,Accuracy,0.645
LLama-zero-shot,Precision,0.8581081081081081
LLama-zero-shot,Recall,0.7175141242937854
LLama-zero-shot,F1,0.7815384615384615
LLama-few-shot,Accuracy,0.785
LLama-few-shot,Precision,0.8722222222222222
LLama-few-shot,Recall,0.8870056497175142
LLama-few-shot,F1,0.8795518207282913
Mistral-zero-shot,Accuracy,0.785
Mistral-zero-shot,Precision,0.8764044943820225
Mistral-zero-shot,Recall,0.8813559322033898
Mistral-zero-shot,F1,0.8788732394366198
Phi-zero-shot,Accuracy,0.745
Phi-zero-shot,Precision,0.875
Phi-zero-shot,Recall,0.8305084745762712
Phi-zero-shot,F1,0.8521739130434782
Mistral-few-shot,Accuracy,0.82
Mistral-few-shot,Precision,0.8941176470588236
Mistral-few-shot,Recall,0.8941176470588236
Mistral-few-shot,F1,0.8941176470588236
Phi-few-shot,Accuracy,0.83
Phi-few-shot,Precision,0.8617021276595744
Phi-few-shot,Recall,0.9529411764705882
Phi-few-shot,F1,0.9050279329608939
